s,d,yaw,pitch,dyaw,dpitch,qdist
0.6120,7314.6,52.165,15.427,0.4173,0.1953,0.4608
0.6130,7348.1,51.798,15.638,0.3670,0.2106,0.4232
0.6140,7381.4,51.470,15.846,0.3282,0.2078,0.3885
0.6150,7414.6,51.169,16.064,0.3006,0.2180,0.3714
0.6160,7447.7,50.887,16.345,0.2822,0.2817,0.3988
0.6170,7480.5,50.617,16.755,0.2696,0.4095,0.4903
0.6180,7513.2,50.359,17.023,0.2586,0.2683,0.3726
0.6190,7545.6,50.113,17.043,0.2459,0.0197,0.2467
0.6200,7577.9,49.883,17.083,0.2292,0.0404,0.2327
0.6210,7610.0,49.676,17.136,0.2077,0.0529,0.2143
0.6220,7641.9,49.494,17.265,0.1817,0.1294,0.2231
0.6230,7673.6,49.341,17.223,0.1531,0.0428,0.1590
0.6240,7705.1,49.217,17.190,0.1235,0.0330,0.1279
0.6250,7736.4,49.124,17.371,0.0936,0.1811,0.2038
0.6260,7767.5,49.060,17.390,0.0643,0.0196,0.0673
0.6270,7798.3,49.023,17.447,0.0368,0.0564,0.0673
0.6280,7828.9,49.010,17.358,0.0122,0.0888,0.0897
0.6290,7859.3,49.018,17.262,0.0076,0.0963,0.0966
0.6300,7889.5,49.039,17.156,0.0208,0.1056,0.1076
0.6310,7919.4,49.064,16.996,0.0250,0.1604,0.1624
0.6320,7949.1,49.083,16.962,0.0186,0.0338,0.0386
0.6330,7978.5,49.084,16.950,0.0011,0.0123,0.0123
0.6340,8007.7,49.057,16.901,0.0264,0.0490,0.0556
0.6350,8036.6,48.996,16.883,0.0610,0.0172,0.0633
0.6360,8065.2,48.897,17.291,0.0990,0.4076,0.4194
0.6370,8093.6,48.761,16.985,0.1368,0.3064,0.3355
0.6380,8121.8,48.589,16.914,0.1713,0.0703,0.1851
0.6390,8149.6,48.389,16.966,0.2002,0.0513,0.2067
0.6400,8177.2,48.166,16.946,0.2231,0.0193,0.2240
0.6410,8204.5,47.925,16.895,0.2406,0.0511,0.2459
0.6420,8231.5,47.671,16.952,0.2541,0.0569,0.2604
0.6430,8258.2,47.406,16.888,0.2655,0.0644,0.2732
0.6440,8284.6,47.129,16.812,0.2768,0.0757,0.2870
0.6450,8310.7,46.840,16.884,0.2895,0.0725,0.2984
0.6460,8336.5,46.535,16.993,0.3048,0.1083,0.3235
0.6470,8362.0,46.211,17.225,0.3233,0.2320,0.3979
0.6480,8387.2,45.867,16.855,0.3447,0.3694,0.5053
0.6490,8412.1,45.498,16.732,0.3691,0.1231,0.3891
0.6500,8436.6,45.102,16.696,0.3959,0.0361,0.3976
0.6510,8460.8,44.677,16.656,0.4247,0.0403,0.4266
0.6520,8484.7,44.222,16.479,0.4550,0.1766,0.4881
0.6530,8508.3,43.735,16.397,0.4866,0.0819,0.4934
0.6540,8531.5,43.216,16.306,0.5192,0.0913,0.5271
0.6550,8554.3,42.664,16.240,0.5522,0.0661,0.5561
0.6560,8576.8,42.080,16.105,0.5843,0.1354,0.5998
0.6570,8599.0,41.466,15.886,0.6138,0.2182,0.6515
0.6580,8620.8,40.827,15.745,0.6388,0.1415,0.6543
0.6590,8642.2,40.170,15.695,0.6576,0.0494,0.6594
0.6600,8663.3,39.501,15.641,0.6683,0.0549,0.6706
0.6610,8684.0,38.832,15.706,0.6697,0.0656,0.6729
0.6620,8704.3,38.170,15.586,0.6615,0.1202,0.6723
0.6630,8724.2,37.525,15.696,0.6448,0.1103,0.6541
0.6640,8743.8,36.904,16.007,0.6214,0.3103,0.6946
0.6650,8762.9,36.309,15.786,0.5944,0.2209,0.6341
0.6660,8781.7,35.742,15.801,0.5675,0.0150,0.5677
0.6670,8800.1,35.197,15.826,0.5447,0.0256,0.5453
0.6680,8818.0,34.668,15.893,0.5296,0.0663,0.5338
0.6690,8835.6,34.143,16.028,0.5247,0.1353,0.5419
0.6700,8852.7,33.612,16.255,0.5309,0.2268,0.5774
0.6710,8869.4,33.065,16.457,0.5474,0.2022,0.5836
0.6720,8885.7,32.492,16.718,0.5721,0.2616,0.6291
0.6730,8901.6,31.890,17.112,0.6021,0.3931,0.7190
0.6740,8917.1,31.256,17.083,0.6341,0.0288,0.6347
0.6750,8932.1,30.591,17.115,0.6654,0.0325,0.6662
0.6760,8946.7,29.897,17.231,0.6942,0.1162,0.7039
0.6770,8960.8,29.177,17.388,0.7195,0.1561,0.7362
0.6780,8974.5,28.437,17.526,0.7404,0.1381,0.7532
0.6790,8987.7,27.680,17.605,0.7564,0.0796,0.7606
0.6800,9000.5,26.914,17.790,0.7665,0.1843,0.7884
0.6810,9012.9,26.144,17.932,0.7699,0.1427,0.7830
0.6820,9025.2,25.378,18.052,0.7655,0.1197,0.7748
0.6830,9037.3,24.626,18.188,0.7524,0.1363,0.7647
0.6840,9049.3,23.895,18.340,0.7306,0.1519,0.7462
0.6850,9061.0,23.195,18.497,0.7005,0.1572,0.7179
0.6860,9072.7,22.531,18.607,0.6634,0.1097,0.6724
0.6870,9084.1,21.911,18.749,0.6206,0.1421,0.6366
0.6880,9095.4,21.337,18.881,0.5739,0.1318,0.5889
